datetime,temp,humidity,rain
2026-05-10T00:00,29.2,77,0.0
2026-05-10T01:00,28.8,81,0.0
2026-05-10T02:00,28.4,84,0.0
2026-05-10T03:00,27.7,89,0.0
2026-05-10T04:00,27.2,90,0.0
2026-05-10T05:00,27.3,89,0.0
2026-05-10T06:00,28.0,85,0.0
2026-05-10T07:00,29.5,75,0.0
2026-05-10T08:00,31.8,57,0.0
2026-05-10T09:00,34.0,46,0.0
2026-05-10T10:00,35.9,41,0.0
2026-05-10T11:00,36.2,46,0.0
2026-05-10T12:00,36.2,53,0.0
2026-05-10T13:00,35.7,52,0.0
2026-05-10T14:00,34.9,48,0.0
2026-05-10T15:00,35.3,46,0.0
2026-05-10T16:00,34.7,47,0.0
2026-05-10T17:00,33.9,47,0.0
2026-05-10T18:00,33.0,51,0.0
2026-05-10T19:00,32.0,57,0.0
2026-05-10T20:00,31.8,60,0.0
2026-05-10T21:00,31.5,60,0.0
2026-05-10T22:00,31.2,60,0.0
2026-05-10T23:00,30.9,61,0.0
2026-05-11T00:00,30.4,67,0.0
2026-05-11T01:00,29.8,75,0.0
2026-05-11T02:00,29.0,79,0.0
2026-05-11T03:00,28.5,79,0.0
2026-05-11T04:00,28.4,76,0.0
2026-05-11T05:00,28.5,76,0.0
2026-05-11T06:00,28.5,77,0.0
2026-05-11T07:00,30.0,72,0.0
2026-05-11T08:00,31.9,65,0.0
2026-05-11T09:00,34.0,54,0.0
2026-05-11T10:00,35.3,52,0.0
2026-05-11T11:00,35.9,53,0.0
2026-05-11T12:00,36.2,48,0.0
2026-05-11T13:00,36.3,43,0.0
2026-05-11T14:00,35.8,43,0.0
2026-05-11T15:00,35.6,41,0.0
2026-05-11T16:00,34.5,47,0.0
2026-05-11T17:00,33.2,55,0.0
2026-05-11T18:00,32.3,57,0.0
2026-05-11T19:00,31.4,66,0.0
2026-05-11T20:00,30.7,75,0.0
2026-05-11T21:00,30.5,78,0.0
2026-05-11T22:00,30.4,74,0.0
2026-05-11T23:00,30.1,72,0.0
2026-05-12T00:00,30.0,69,0.0
2026-05-12T01:00,29.4,71,0.0
2026-05-12T02:00,28.9,72,0.0
2026-05-12T03:00,28.7,74,0.0
2026-05-12T04:00,28.6,78,0.0
2026-05-12T05:00,28.5,81,0.0
2026-05-12T06:00,28.6,83,0.0
2026-05-12T07:00,29.9,79,0.0
2026-05-12T08:00,31.5,72,0.0
2026-05-12T09:00,33.0,63,0.0
2026-05-12T10:00,34.5,57,0.0
2026-05-12T11:00,35.2,55,0.0
2026-05-12T12:00,35.2,53,0.0
2026-05-12T13:00,35.3,51,0.0
2026-05-12T14:00,35.3,50,0.0
2026-05-12T15:00,35.0,49,0.0
2026-05-12T16:00,34.7,45,0.0
2026-05-12T17:00,33.5,50,0.0
2026-05-12T18:00,32.2,61,0.0
2026-05-12T19:00,31.3,70,0.0
2026-05-12T20:00,30.8,73,0.0
2026-05-12T21:00,30.5,78,0.0
2026-05-12T22:00,30.5,74,0.0
2026-05-12T23:00,30.3,76,0.0
2026-05-13T00:00,30.0,76,0.0
2026-05-13T01:00,29.6,79,0.0
2026-05-13T02:00,29.3,82,0.0
2026-05-13T03:00,29.2,83,0.0
2026-05-13T04:00,29.0,84,0.0
2026-05-13T05:00,29.0,85,0.0
2026-05-13T06:00,29.1,83,0.0
2026-05-13T07:00,30.1,78,0.0
2026-05-13T08:00,31.4,71,0.0
2026-05-13T09:00,32.3,66,0.0
