datetime,temp,humidity,rain
2026-05-11T07:00,29.4,84,0.0
2026-05-11T08:00,30.5,78,0.0
2026-05-11T09:00,31.8,72,0.0
2026-05-11T10:00,33.2,66,0.0
2026-05-11T11:00,34.3,62,0.0
2026-05-11T12:00,35.0,57,0.0
2026-05-11T13:00,35.2,55,0.0
2026-05-11T14:00,35.0,54,0.0
2026-05-11T15:00,34.8,53,0.0
2026-05-11T16:00,34.5,52,0.0
2026-05-11T17:00,34.1,52,0.0
2026-05-11T18:00,33.7,53,0.0
2026-05-11T19:00,33.2,54,0.0
2026-05-11T20:00,32.5,57,0.0
2026-05-11T21:00,31.9,59,0.0
2026-05-11T22:00,31.2,62,0.0
2026-05-11T23:00,30.8,65,0.0
