datetime,temp,humidity,rain
2026-05-05T00:00,23.8,84,0.0
2026-05-05T01:00,23.1,87,0.0
2026-05-05T02:00,22.6,89,0.0
2026-05-05T03:00,22.0,92,0.0
2026-05-05T04:00,21.7,93,0.0
2026-05-05T05:00,21.6,95,0.0
2026-05-05T06:00,22.1,91,0.0
2026-05-05T07:00,23.6,84,0.0
2026-05-05T08:00,26.5,69,0.0
2026-05-05T09:00,29.9,53,0.0
2026-05-05T10:00,33.0,37,0.0
2026-05-05T11:00,34.8,22,0.0
2026-05-05T12:00,35.8,19,0.0
2026-05-05T13:00,36.2,18,0.0
2026-05-05T14:00,36.5,18,0.0
2026-05-05T15:00,36.2,19,0.0
2026-05-05T16:00,34.2,25,0.0
2026-05-05T17:00,32.7,30,0.0
2026-05-05T18:00,31.9,30,0.0
2026-05-05T19:00,29.5,46,0.0
2026-05-05T20:00,27.4,66,0.0
2026-05-05T21:00,26.0,76,0.0
2026-05-05T22:00,25.1,81,0.0
2026-05-05T23:00,24.4,85,0.0
2026-05-06T00:00,23.8,88,0.0
2026-05-06T01:00,23.1,90,0.0
2026-05-06T02:00,22.5,93,0.0
2026-05-06T03:00,22.1,93,0.0
2026-05-06T04:00,21.8,94,0.0
2026-05-06T05:00,21.3,94,0.0
2026-05-06T06:00,21.0,95,0.0
2026-05-06T07:00,22.0,85,0.0
2026-05-06T08:00,25.1,65,0.0
2026-05-06T09:00,29.2,43,0.0
2026-05-06T10:00,32.9,26,0.0
2026-05-06T11:00,35.3,21,0.0
2026-05-06T12:00,37.0,18,0.0
2026-05-06T13:00,38.2,16,0.0
2026-05-06T14:00,38.4,15,0.0
2026-05-06T15:00,38.8,13,0.0
2026-05-06T16:00,38.2,14,0.0
2026-05-06T17:00,33.9,33,0.0
2026-05-06T18:00,33.0,35,0.0
2026-05-06T19:00,30.5,49,0.0
2026-05-06T20:00,29.1,57,0.0
2026-05-06T21:00,28.4,60,0.0
2026-05-06T22:00,27.8,62,0.0
2026-05-06T23:00,27.0,66,0.0
2026-05-07T00:00,26.1,70,0.0
2026-05-07T01:00,25.6,74,0.0
2026-05-07T02:00,25.2,76,0.0
2026-05-07T03:00,24.5,79,0.0
2026-05-07T04:00,24.0,81,0.0
2026-05-07T05:00,23.8,82,0.0
2026-05-07T06:00,24.0,81,0.0
2026-05-07T07:00,26.5,68,0.0
2026-05-07T08:00,29.8,47,0.0
2026-05-07T09:00,32.6,33,0.0
2026-05-07T10:00,35.1,24,0.0
2026-05-07T11:00,36.8,17,0.0
2026-05-07T12:00,37.8,16,0.0
2026-05-07T13:00,38.4,15,0.0
2026-05-07T14:00,39.3,13,0.0
2026-05-07T15:00,38.7,13,0.0
2026-05-07T16:00,38.8,12,0.0
2026-05-07T17:00,34.5,24,0.0
2026-05-07T18:00,34.0,29,0.0
2026-05-07T19:00,30.7,54,0.0
2026-05-07T20:00,30.0,58,0.0
2026-05-07T21:00,29.3,60,0.0
2026-05-07T22:00,28.6,62,0.0
2026-05-07T23:00,27.9,66,0.0
2026-05-08T00:00,27.4,68,0.0
2026-05-08T01:00,27.2,67,0.0
2026-05-08T02:00,27.0,67,0.0
2026-05-08T03:00,26.4,66,0.0
2026-05-08T04:00,25.9,67,0.0
2026-05-08T05:00,25.2,70,0.0
2026-05-08T06:00,25.2,69,0.0
2026-05-08T07:00,26.7,63,0.0
2026-05-08T08:00,29.2,52,0.0
2026-05-08T09:00,32.2,39,0.0
2026-05-08T10:00,35.0,29,0.0
2026-05-08T11:00,37.2,20,0.0
2026-05-08T12:00,38.3,17,0.0
2026-05-08T13:00,37.8,18,0.0
2026-05-08T14:00,36.8,18,0.0
2026-05-08T15:00,36.9,18,0.0
2026-05-08T16:00,36.8,17,0.0
2026-05-08T17:00,36.8,17,0.0
2026-05-08T18:00,36.0,17,0.0
2026-05-08T19:00,32.5,36,0.0
2026-05-08T20:00,30.8,49,0.0
2026-05-08T21:00,30.0,55,0.0
2026-05-08T22:00,29.2,58,0.0
2026-05-08T23:00,28.5,62,0.0
2026-05-09T00:00,27.9,64,0.0
2026-05-09T01:00,27.5,63,0.0
2026-05-09T02:00,27.1,62,0.0
2026-05-09T03:00,26.5,63,0.0
2026-05-09T04:00,25.9,67,0.0
2026-05-09T05:00,25.3,71,0.0
2026-05-09T06:00,26.2,66,0.0
2026-05-09T07:00,27.8,58,0.0
2026-05-09T08:00,29.8,49,0.0
2026-05-09T09:00,32.3,38,0.0
2026-05-09T10:00,35.2,29,0.0
2026-05-09T11:00,37.3,23,0.0
2026-05-09T12:00,38.2,20,0.0
2026-05-09T13:00,38.3,18,0.0
2026-05-09T14:00,38.2,16,0.0
2026-05-09T15:00,38.3,15,0.0
2026-05-09T16:00,38.2,15,0.0
2026-05-09T17:00,37.5,16,0.0
2026-05-09T18:00,35.7,22,0.0
2026-05-09T19:00,33.1,33,0.0
2026-05-09T20:00,31.0,45,0.0
2026-05-09T21:00,30.0,51,0.0
2026-05-09T22:00,29.5,52,0.0
2026-05-09T23:00,29.0,52,0.0
2026-05-10T00:00,28.5,51,0.0
2026-05-10T01:00,28.2,48,0.0
2026-05-10T02:00,27.8,47,0.0
2026-05-10T03:00,26.9,49,0.0
2026-05-10T04:00,26.0,52,0.0
2026-05-10T05:00,25.8,53,0.0
2026-05-10T06:00,27.0,49,0.0
2026-05-10T07:00,29.0,44,0.0
2026-05-10T08:00,31.1,37,0.0
2026-05-10T09:00,33.5,29,0.0
2026-05-10T10:00,36.1,21,0.0
2026-05-10T11:00,38.2,16,0.0
2026-05-10T12:00,39.5,14,0.0
2026-05-10T13:00,40.4,12,0.0
2026-05-10T14:00,40.8,11,0.0
2026-05-10T15:00,40.7,10,0.0
2026-05-10T16:00,40.1,10,0.0
2026-05-10T17:00,39.0,11,0.0
2026-05-10T18:00,36.8,17,0.0
2026-05-10T19:00,33.9,31,0.0
2026-05-10T20:00,31.6,49,0.0
2026-05-10T21:00,30.5,56,0.0
2026-05-10T22:00,29.8,55,0.0
2026-05-10T23:00,29.2,55,0.0
2026-05-11T00:00,28.4,57,0.0
2026-05-11T01:00,27.6,60,0.0
2026-05-11T02:00,26.9,63,0.0
2026-05-11T03:00,26.0,67,0.0
2026-05-11T04:00,25.0,72,0.0
2026-05-11T05:00,25.0,72,0.0
2026-05-11T06:00,26.5,63,0.0
2026-05-11T07:00,28.9,51,0.0
2026-05-11T08:00,31.5,40,0.0
2026-05-11T09:00,34.3,29,0.0
2026-05-11T10:00,37.4,20,0.0
2026-05-11T11:00,39.5,15,0.0
2026-05-11T12:00,41.0,11,0.0
2026-05-11T13:00,41.5,10,0.0
2026-05-11T14:00,41.7,9,0.0
2026-05-11T15:00,41.4,9,0.0
2026-05-11T16:00,40.9,9,0.0
2026-05-11T17:00,40.2,10,0.0
2026-05-11T18:00,39.0,12,0.0
2026-05-11T19:00,37.2,16,0.0
2026-05-11T20:00,35.2,23,0.0
2026-05-11T21:00,33.2,33,0.0
2026-05-11T22:00,31.2,44,0.0
2026-05-11T23:00,29.8,55,0.0
